PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
79,0,1,0,21.0,0,1,77.2875,0,0,1
80,0,3,0,33.0,0,0,8.6542,0,0,1
81,0,3,0,37.0,2,0,7.925,0,0,1
82,0,3,0,28.0,0,0,7.8958,0,0,1
83,1,3,1,21.0,0,0,7.65,0,0,1
84,0,3,0,38.0,0,0,7.8958,0,0,1
85,0,1,0,47.0,0,0,52.0,0,0,1
86,0,3,1,14.5,1,0,14.4542,1,0,0
87,0,3,0,22.0,0,0,8.05,0,0,1
88,0,3,1,20.0,1,0,9.825,0,0,1
89,0,3,1,17.0,0,0,14.4583,1,0,0
90,0,3,0,21.0,0,0,7.925,0,0,1
91,0,3,0,70.5,0,0,7.75,0,1,0
92,0,2,0,29.0,1,0,21.0,0,0,1
93,0,1,0,24.0,0,1,247.5208,1,0,0
94,0,3,1,2.0,4,2,31.275,0,0,1
95,0,2,0,21.0,2,0,73.5,0,0,1
96,0,2,0,32.5,1,0,30.0708,1,0,0
97,1,2,1,32.5,0,0,13.0,0,0,1
98,0,1,0,54.0,0,1,77.2875,0,0,1
99,1,3,0,12.0,1,0,11.2417,1,0,0
100,1,3,0,24.0,0,0,7.1417,0,0,1
101,0,3,0,45.0,0,0,6.975,0,0,1
102,0,3,0,33.0,0,0,7.8958,1,0,0
103,0,3,0,20.0,0,0,7.05,0,0,1
104,0,3,1,47.0,1,0,14.5,0,0,1
105,1,2,1,29.0,1,0,26.0,0,0,1
106,0,2,0,25.0,0,0,13.0,0,0,1
107,0,2,0,23.0,0,0,15.0458,1,0,0
108,1,1,1,19.0,0,2,26.2833,0,0,1
109,0,1,0,37.0,1,0,53.1,0,0,1
110,0,3,0,16.0,0,0,9.2167,0,0,1
111,0,1,0,24.0,0,0,79.2,1,0,0
112,1,3,1,22.0,0,0,7.75,0,0,1
113,1,3,1,24.0,1,0,15.85,0,0,1
114,0,3,0,19.0,0,0,6.75,0,1,0
115,0,2,0,18.0,0,0,11.5,0,0,1
116,0,2,0,19.0,1,1,36.75,0,0,1
117,1,3,0,27.0,0,0,7.7958,0,0,1
118,0,3,1,9.0,2,2,34.375,0,0,1
119,0,2,0,36.5,0,2,26.0,0,0,1
120,0,2,0,42.0,0,0,13.0,0,0,1
121,0,2,0,51.0,0,0,12.525,0,0,1
122,1,1,1,22.0,1,0,66.6,0,0,1
123,0,3,0,55.5,0,0,8.05,0,0,1
124,0,3,0,40.5,0,2,14.5,0,0,1
125,0,1,0,51.0,0,1,61.3792,1,0,0
126,1,3,1,16.0,0,0,7.7333,0,1,0
127,0,3,0,30.0,0,0,8.05,0,0,1
128,0,3,0,44.0,0,1,16.1,0,0,1
129,1,2,1,40.0,0,0,15.75,0,0,1
130,0,3,0,26.0,0,0,7.775,0,0,1
131,0,3,0,17.0,0,0,8.6625,0,0,1
132,0,3,0,1.0,4,1,39.6875,0,0,1
133,1,3,0,9.0,0,2,20.525,0,0,1
134,0,3,1,45.0,1,4,27.9,0,0,1
135,0,3,0,28.0,0,0,56.4958,0,0,1
136,0,1,0,61.0,0,0,33.5,0,0,1
137,0,3,0,4.0,4,1,29.125,0,1,0
138,1,3,1,1.0,1,1,11.1333,0,0,1
139,0,3,0,21.0,0,0,7.925,0,0,1
140,0,1,0,56.0,0,0,30.6958,1,0,0
141,0,3,0,18.0,1,1,7.8542,0,0,1
142,0,1,1,50.0,0,0,28.7125,1,0,0
143,0,2,0,30.0,0,0,13.0,0,0,1
144,0,3,0,36.0,0,0,0.0,0,0,1
145,0,3,0,9.0,4,2,31.3875,0,0,1
146,1,2,0,1.0,2,1,39.0,0,0,1
147,1,3,1,4.0,0,2,22.025,0,0,1
148,1,1,0,45.0,0,0,26.55,0,0,1
149,0,3,0,40.0,1,1,15.5,0,1,0
150,0,3,0,36.0,0,0,7.8958,0,0,1
151,1,2,1,32.0,0,0,13.0,0,0,1
152,0,2,0,19.0,0,0,13.0,0,0,1
153,1,3,1,19.0,1,0,7.8542,0,0,1
154,1,2,0,3.0,1,1,26.0,0,0,1
155,1,1,1,44.0,0,0,27.7208,1,0,0
156,1,1,1,58.0,0,0,146.5208,1,0,0
157,0,3,0,42.0,0,1,8.4042,0,0,1
158,0,2,1,24.0,0,0,13.0,0,0,1
159,0,3,0,28.0,0,0,9.5,0,0,1
160,0,3,0,34.0,0,0,6.4958,0,0,1
161,0,3,0,45.5,0,0,7.225,1,0,0
162,1,3,0,18.0,0,0,8.05,0,0,1
163,0,3,1,2.0,0,1,10.4625,0,0,1
164,0,3,0,32.0,1,0,15.85,0,0,1
165,1,3,0,26.0,0,0,18.7875,1,0,0
166,1,3,1,16.0,0,0,7.75,0,1,0
167,1,1,0,40.0,0,0,31.0,1,0,0
168,0,3,0,24.0,0,0,7.05,0,0,1
169,1,2,1,35.0,0,0,21.0,0,0,1
170,0,3,0,22.0,0,0,7.25,0,0,1
171,0,2,0,30.0,0,0,13.0,0,0,1
172,1,1,1,31.0,1,0,113.275,1,0,0
173,1,3,1,27.0,0,0,7.925,0,0,1
174,0,2,0,42.0,1,0,27.0,0,0,1
175,1,1,1,32.0,0,0,76.2917,1,0,0
176,0,2,0,30.0,0,0,10.5,0,0,1
177,1,3,0,16.0,0,0,8.05,0,0,1
178,0,2,0,27.0,0,0,13.0,0,0,1
179,0,3,0,51.0,0,0,8.05,0,0,1
180,1,1,0,38.0,1,0,90.0,0,0,1
181,0,3,0,22.0,0,0,9.35,0,0,1
182,1,2,0,19.0,0,0,10.5,0,0,1
183,0,3,0,20.5,0,0,7.25,0,0,1
184,0,2,0,18.0,0,0,13.0,0,0,1
185,1,1,1,35.0,1,0,83.475,0,0,1
186,0,3,0,29.0,0,0,7.775,0,0,1
187,0,2,0,59.0,0,0,13.5,0,0,1
188,1,3,1,5.0,4,2,31.3875,0,0,1
189,0,2,0,24.0,0,0,10.5,0,0,1
190,0,2,0,44.0,1,0,26.0,0,0,1
191,1,2,1,8.0,0,2,26.25,0,0,1
192,0,2,0,19.0,0,0,10.5,0,0,1
193,0,2,0,33.0,0,0,12.275,0,0,1
194,0,2,0,29.0,0,0,10.5,0,0,1
195,0,3,0,22.0,0,0,7.125,0,0,1
196,0,3,0,30.0,0,0,7.225,1,0,0
197,0,1,0,44.0,2,0,90.0,0,1,0
198,0,3,1,25.0,0,0,7.775,0,0,1
199,1,2,1,24.0,0,2,14.5,0,0,1
200,1,1,0,37.0,1,1,52.5542,0,0,1
201,0,2,0,54.0,1,0,26.0,0,0,1
202,0,3,1,29.0,1,1,10.4625,0,0,1
203,0,1,0,62.0,0,0,26.55,0,0,1
204,0,3,0,30.0,1,0,16.1,0,0,1
205,0,3,1,41.0,0,2,20.2125,0,0,1
206,1,3,1,29.0,0,2,15.2458,1,0,0
207,1,1,1,30.0,0,0,86.5,0,0,1
208,1,1,1,35.0,0,0,512.3292,1,0,0
209,1,2,1,50.0,0,1,26.0,0,0,1
210,1,3,0,3.0,4,2,31.3875,0,0,1
211,0,1,0,52.0,1,1,79.65,0,0,1
212,0,1,0,40.0,0,0,0.0,0,0,1
213,0,2,0,36.0,0,0,10.5,0,0,1
214,0,3,0,16.0,4,1,39.6875,0,0,1
215,1,3,0,25.0,1,0,7.775,0,0,1
216,1,1,1,58.0,0,1,153.4625,0,0,1
217,1,1,1,35.0,0,0,135.6333,0,0,1
218,1,3,0,25.0,0,0,0.0,0,0,1
219,1,2,1,41.0,0,1,19.5,0,0,1
220,0,1,0,37.0,0,1,29.7,1,0,0
221,1,1,1,63.0,1,0,77.9583,0,0,1
222,0,3,1,45.0,0,0,7.75,0,0,1
223,0,3,0,7.0,4,1,29.125,0,1,0
224,1,3,1,35.0,1,1,20.25,0,0,1
225,0,3,0,65.0,0,0,7.75,0,1,0
226,0,3,0,28.0,0,0,7.8542,0,0,1
227,0,3,0,16.0,0,0,9.5,0,0,1
228,1,3,0,19.0,0,0,8.05,0,0,1
229,0,3,0,33.0,0,0,8.6625,1,0,0
230,1,3,0,30.0,0,0,9.5,0,0,1
231,0,3,0,22.0,0,0,7.8958,0,0,1
232,1,2,0,42.0,0,0,13.0,0,0,1
233,1,3,1,22.0,0,0,7.75,0,1,0
234,1,1,1,26.0,0,0,78.85,0,0,1
235,1,1,1,19.0,1,0,91.0792,1,0,0
236,0,2,0,36.0,0,0,12.875,1,0,0
237,0,3,1,24.0,0,0,8.85,0,0,1
238,0,3,0,24.0,0,0,7.8958,0,0,1
239,0,3,0,23.5,0,0,7.2292,1,0,0
240,0,1,1,2.0,1,2,151.55,0,0,1
241,1,1,1,50.0,0,1,247.5208,1,0,0
242,0,3,0,19.0,0,0,0.0,0,0,1
243,1,1,0,0.92,1,2,151.55,0,0,1
244,1,1,1,17.0,1,0,108.9,1,0,0
245,0,2,0,30.0,1,0,24.0,1,0,0
246,1,1,1,30.0,0,0,56.9292,1,0,0
247,1,1,1,24.0,0,0,83.1583,1,0,0
248,1,1,1,18.0,2,2,262.375,1,0,0
249,0,2,1,26.0,1,1,26.0,0,0,1
250,0,3,0,28.0,0,0,7.8958,0,0,1
251,0,2,0,43.0,1,1,26.25,0,0,1
252,1,3,1,26.0,0,0,7.8542,0,0,1
253,1,2,1,24.0,1,0,26.0,0,0,1
254,0,2,0,54.0,0,0,14.0,0,0,1
255,1,1,1,31.0,0,2,164.8667,0,0,1
256,1,1,1,40.0,1,1,134.5,1,0,0
257,0,3,0,22.0,0,0,7.25,0,0,1
258,0,3,0,27.0,0,0,7.8958,0,0,1
259,1,2,1,30.0,0,0,12.35,0,1,0
260,1,2,1,22.0,1,1,29.0,0,0,1
261,1,1,1,36.0,0,0,135.6333,1,0,0
262,0,3,0,61.0,0,0,6.2375,0,0,1
263,1,2,1,36.0,0,0,13.0,0,0,1
264,1,3,1,31.0,1,1,20.525,0,0,1
265,1,1,1,16.0,0,1,57.9792,1,0,0
266,0,1,0,45.5,0,0,28.5,0,0,1
267,0,1,0,38.0,0,1,153.4625,0,0,1
268,0,3,0,16.0,2,0,18.0,0,0,1
269,0,1,0,29.0,1,0,66.6,0,0,1
270,1,1,1,41.0,0,0,134.5,1,0,0
271,1,3,0,45.0,0,0,8.05,0,0,1
272,0,1,0,45.0,0,0,35.5,0,0,1
273,1,2,0,2.0,1,1,26.0,0,0,1
274,1,1,1,24.0,3,2,263.0,0,0,1
275,0,2,0,28.0,0,0,13.0,0,0,1
276,0,2,0,25.0,0,0,13.0,0,0,1
277,0,2,0,36.0,0,0,13.0,0,0,1
278,1,2,1,24.0,0,0,13.0,0,0,1
279,1,2,1,40.0,0,0,13.0,0,0,1
280,1,3,0,3.0,1,1,15.9,0,0,1
281,0,3,0,42.0,0,0,8.6625,0,0,1
282,0,3,0,23.0,0,0,9.225,0,0,1
283,0,3,0,15.0,1,1,7.2292,1,0,0
284,0,3,0,25.0,1,0,17.8,0,0,1
285,0,3,0,28.0,0,0,9.5,0,0,1
286,1,1,1,22.0,0,1,55.0,0,0,1
287,0,2,1,38.0,0,0,13.0,0,0,1
288,0,3,0,40.0,1,4,27.9,0,0,1
289,0,2,0,29.0,1,0,27.7208,1,0,0
290,0,3,1,45.0,0,1,14.4542,1,0,0
291,0,3,0,35.0,0,0,7.05,0,0,1
292,0,3,0,30.0,0,0,7.25,0,0,1
293,1,1,1,60.0,1,0,75.25,1,0,0
294,1,1,1,24.0,0,0,69.3,1,0,0
295,1,1,0,25.0,1,0,55.4417,1,0,0
296,0,3,0,18.0,1,0,6.4958,0,0,1
297,0,3,0,19.0,0,0,8.05,0,0,1
298,0,1,0,22.0,0,0,135.6333,1,0,0
299,0,3,1,3.0,3,1,21.075,0,0,1
300,1,3,1,22.0,0,0,7.25,0,0,1
301,0,1,0,27.0,0,2,211.5,1,0,0
302,0,3,0,20.0,0,0,4.0125,1,0,0
303,0,3,0,19.0,0,0,7.775,0,0,1
304,1,1,1,42.0,0,0,227.525,1,0,0
305,1,3,1,1.0,0,2,15.7417,1,0,0
306,0,3,0,32.0,0,0,7.925,0,0,1
307,1,1,1,35.0,1,0,52.0,0,0,1
308,0,2,0,18.0,0,0,73.5,0,0,1
309,0,3,0,1.0,5,2,46.9,0,0,1
310,1,2,1,36.0,0,0,13.0,0,0,1
311,1,2,1,17.0,0,0,12.0,1,0,0
312,1,1,0,36.0,1,2,120.0,0,0,1
313,1,3,0,21.0,0,0,7.7958,0,0,1
314,0,3,0,28.0,2,0,7.925,0,0,1
315,1,1,1,23.0,1,0,113.275,1,0,0
316,1,3,1,24.0,0,2,16.7,0,0,1
317,0,3,0,22.0,0,0,7.7958,0,0,1
318,0,3,1,31.0,0,0,7.8542,0,0,1
319,0,2,0,46.0,0,0,26.0,0,0,1
320,0,2,0,23.0,0,0,10.5,0,0,1
321,1,2,1,28.0,0,0,12.65,0,0,1
322,1,3,0,39.0,0,0,7.925,0,0,1
323,0,3,0,26.0,0,0,8.05,0,0,1
324,0,3,1,21.0,1,0,9.825,0,0,1
325,0,3,0,28.0,1,0,15.85,0,0,1
326,0,3,1,20.0,0,0,8.6625,0,0,1
327,0,2,0,34.0,1,0,21.0,0,0,1
328,0,3,0,51.0,0,0,7.75,0,0,1
329,1,2,0,3.0,1,1,18.75,0,0,1
330,0,3,0,21.0,0,0,7.775,0,0,1
331,1,1,1,33.0,1,0,90.0,0,1,0
332,1,3,0,44.0,0,0,7.925,0,0,1
333,1,2,1,34.0,1,1,32.5,0,0,1
334,1,2,1,18.0,0,2,13.0,0,0,1
335,0,2,0,30.0,0,0,13.0,0,0,1
336,0,3,1,10.0,0,2,24.15,0,0,1
337,0,3,0,21.0,0,0,7.7333,0,1,0
338,0,3,0,29.0,0,0,7.875,0,0,1
339,0,3,1,28.0,1,1,14.4,0,0,1
340,0,3,0,18.0,1,1,20.2125,0,0,1
341,1,2,1,28.0,1,0,26.0,0,0,1
342,1,2,1,19.0,0,0,26.0,0,0,1
343,1,3,0,32.0,0,0,8.05,0,0,1
344,1,1,0,28.0,0,0,26.55,0,0,1
345,1,2,1,42.0,1,0,26.0,0,0,1
346,0,3,0,17.0,0,0,7.125,0,0,1
347,0,1,0,50.0,1,0,55.9,0,0,1
348,1,1,1,14.0,1,2,120.0,0,0,1
349,0,3,1,21.0,2,2,34.375,0,0,1
350,1,2,1,24.0,2,3,18.75,0,0,1
351,0,1,0,64.0,1,4,263.0,0,0,1
352,0,2,0,31.0,0,0,10.5,0,0,1
353,1,2,1,45.0,1,1,26.25,0,0,1
354,0,3,0,20.0,0,0,9.5,0,0,1
355,0,3,0,25.0,1,0,7.775,0,0,1
356,1,2,1,28.0,0,0,13.0,0,0,1
357,1,1,0,4.0,0,2,81.8583,0,0,1
358,1,2,1,13.0,0,1,19.5,0,0,1
359,1,1,0,34.0,0,0,26.55,0,0,1
360,1,3,1,5.0,2,1,19.2583,1,0,0
361,1,1,0,52.0,0,0,30.5,0,0,1
362,0,2,0,36.0,1,2,27.75,0,0,1
363,0,1,0,30.0,0,0,27.75,1,0,0
364,1,1,0,49.0,1,0,89.1042,1,0,0
365,1,3,0,29.0,0,0,7.8958,1,0,0
366,0,1,0,65.0,0,0,26.55,0,0,1
367,1,2,1,50.0,0,0,10.5,0,0,1
368,1,1,0,48.0,0,0,26.55,0,0,1
369,0,3,0,34.0,0,0,8.05,0,0,1
370,0,1,0,47.0,0,0,38.5,0,0,1
371,0,2,0,48.0,0,0,13.0,0,0,1
372,0,3,0,38.0,0,0,7.05,0,0,1
373,0,1,0,56.0,0,0,26.55,0,0,1
374,1,3,1,0.75,2,1,19.2583,1,0,0
375,0,3,0,38.0,0,0,8.6625,0,0,1
376,1,2,1,33.0,1,2,27.75,0,0,1
377,1,2,1,23.0,0,0,13.7917,1,0,0
378,0,3,1,22.0,0,0,9.8375,0,0,1
379,0,2,0,34.0,1,0,21.0,0,0,1
380,0,3,0,29.0,1,0,7.0458,0,0,1
381,0,3,0,22.0,0,0,7.5208,0,0,1
382,1,3,1,2.0,0,1,12.2875,0,0,1
383,0,3,0,9.0,5,2,46.9,0,0,1
384,0,3,0,50.0,0,0,8.05,0,0,1
385,1,3,1,63.0,0,0,9.5875,0,0,1
386,1,1,0,25.0,1,0,91.0792,1,0,0
387,1,1,1,35.0,1,0,90.0,0,0,1
388,0,1,0,58.0,0,0,29.7,1,0,0
389,0,3,0,30.0,0,0,8.05,0,0,1
390,1,3,0,9.0,1,1,15.9,0,0,1
391,0,3,0,21.0,0,0,7.25,0,0,1
392,0,1,0,55.0,0,0,30.5,0,0,1
393,0,1,0,71.0,0,0,49.5042,1,0,0
394,0,3,0,21.0,0,0,8.05,0,0,1
395,1,1,1,54.0,1,0,78.2667,1,0,0
396,0,1,1,25.0,1,2,151.55,0,0,1
397,0,3,0,24.0,0,0,7.7958,0,0,1
398,0,3,0,17.0,0,0,8.6625,0,0,1
399,0,3,1,21.0,0,0,7.75,0,1,0
400,0,3,1,37.0,0,0,9.5875,0,0,1
401,1,1,1,16.0,0,0,86.5,0,0,1
402,0,1,0,18.0,1,0,108.9,1,0,0
403,1,2,1,33.0,0,2,26.0,0,0,1
404,0,3,0,28.0,0,0,22.525,0,0,1
405,1,3,0,26.0,0,0,56.4958,0,0,1
406,1,3,0,29.0,0,0,7.75,0,1,0
407,1,1,0,36.0,0,0,26.2875,0,0,1
408,1,1,1,54.0,1,0,59.4,1,0,0
409,0,3,0,24.0,0,0,7.4958,0,0,1
410,0,1,0,47.0,0,0,34.0208,0,0,1
411,1,2,1,34.0,0,0,10.5,0,0,1
412,1,2,1,36.0,1,0,26.0,0,0,1
413,0,3,0,32.0,0,0,7.8958,0,0,1
414,1,1,1,30.0,0,0,93.5,0,0,1
415,0,3,0,22.0,0,0,7.8958,0,0,1
416,1,1,1,44.0,0,1,57.9792,1,0,0
417,0,3,0,40.5,0,0,7.75,0,1,0
418,1,2,1,50.0,0,0,10.5,0,0,1
419,0,3,0,39.0,0,0,7.925,0,0,1
420,0,2,0,23.0,2,1,11.5,0,0,1
421,1,2,1,2.0,1,1,26.0,0,0,1
422,0,3,0,17.0,1,1,7.2292,1,0,0
423,0,3,1,30.0,0,0,8.6625,0,0,1
424,1,2,1,7.0,0,2,26.25,0,0,1
425,0,1,0,45.0,0,0,26.55,0,0,1
426,1,1,1,30.0,0,0,106.425,1,0,0
427,1,1,1,22.0,0,2,49.5,1,0,0
428,1,1,1,36.0,0,2,71.0,0,0,1
429,0,3,1,9.0,4,2,31.275,0,0,1
430,0,3,1,11.0,4,2,31.275,0,0,1
431,1,2,0,32.0,1,0,26.0,0,0,1
432,0,1,0,50.0,1,0,106.425,1,0,0
433,0,1,0,64.0,0,0,26.0,0,0,1
434,1,2,1,19.0,1,0,26.0,0,0,1
435,0,3,0,33.0,1,1,20.525,0,0,1
436,1,2,0,8.0,1,1,36.75,0,0,1
437,1,1,0,17.0,0,2,110.8833,1,0,0
438,0,2,0,27.0,0,0,26.0,0,0,1
439,1,3,0,22.0,0,0,7.225,1,0,0
440,1,3,1,22.0,0,0,7.775,0,0,1
441,0,1,0,62.0,0,0,26.55,0,0,1
442,1,1,1,48.0,1,0,39.6,1,0,0
443,1,1,1,39.0,1,1,79.65,0,0,1
444,1,3,1,36.0,1,0,17.4,0,0,1
445,0,3,0,40.0,0,0,7.8958,0,0,1
446,0,2,0,28.0,0,0,13.5,0,0,1
447,0,3,0,24.0,2,0,24.15,0,0,1
448,0,3,0,19.0,0,0,7.8958,0,0,1
449,0,3,1,29.0,0,4,21.075,0,0,1
450,1,3,0,32.0,0,0,7.8542,0,0,1
451,1,2,0,62.0,0,0,10.5,0,0,1
452,1,1,1,53.0,2,0,51.4792,0,0,1
453,1,1,0,36.0,0,0,26.3875,0,0,1
454,0,3,0,16.0,0,0,8.05,0,0,1
455,0,3,0,19.0,0,0,14.5,0,0,1
456,1,2,1,34.0,0,0,13.0,0,0,1
457,1,1,1,39.0,1,0,55.9,0,0,1
458,1,3,0,32.0,0,0,7.925,0,0,1
459,1,2,1,25.0,1,1,30.0,0,0,1
460,1,1,1,39.0,1,1,110.8833,1,0,0
461,0,2,0,54.0,0,0,26.0,0,0,1
462,0,1,0,36.0,0,0,40.125,1,0,0
463,1,1,1,18.0,0,2,79.65,0,0,1
464,0,2,0,47.0,0,0,15.0,0,0,1
465,1,1,0,60.0,1,1,79.2,1,0,0
466,0,3,0,22.0,0,0,8.05,0,0,1
467,0,3,0,35.0,0,0,7.125,0,0,1
468,1,1,1,52.0,1,0,78.2667,1,0,0
469,0,3,0,47.0,0,0,7.25,0,0,1
470,0,2,0,37.0,1,0,26.0,0,0,1
471,0,3,0,36.0,1,1,24.15,0,0,1
472,0,3,0,49.0,0,0,0.0,0,0,1
473,1,1,0,49.0,1,0,56.9292,1,0,0
474,1,2,1,24.0,2,1,27.0,0,0,1
475,0,3,0,44.0,0,0,8.05,0,0,1
476,1,1,0,35.0,0,0,26.55,1,0,0
477,0,3,0,36.0,1,0,15.55,0,0,1
478,0,3,0,30.0,0,0,7.8958,0,0,1
479,1,1,0,27.0,0,0,30.5,0,0,1
480,1,2,1,22.0,1,2,41.5792,1,0,0
481,1,1,1,40.0,0,0,153.4625,0,0,1
482,0,3,1,39.0,1,5,31.275,0,0,1
483,0,3,0,35.0,0,0,8.05,0,0,1
484,1,2,1,24.0,1,2,65.0,0,0,1
485,0,3,0,34.0,1,1,14.4,0,0,1
486,0,3,1,26.0,1,0,16.1,0,0,1
487,1,2,1,4.0,2,1,39.0,0,0,1
488,0,2,0,26.0,0,0,10.5,0,0,1
489,0,3,0,27.0,1,0,14.4542,1,0,0
490,1,1,0,42.0,1,0,52.5542,0,0,1
491,1,3,0,20.0,1,1,15.7417,1,0,0
492,0,3,0,21.0,0,0,7.8542,0,0,1
493,0,3,0,21.0,0,0,16.1,0,0,1
494,0,1,0,61.0,0,0,32.3208,0,0,1
495,0,2,0,57.0,0,0,12.35,0,1,0
496,1,1,1,21.0,0,0,77.9583,0,0,1
497,0,3,0,26.0,0,0,7.8958,0,0,1
498,1,1,0,80.0,0,0,30.0,0,0,1
499,0,3,0,51.0,0,0,7.0542,0,0,1
500,1,1,0,32.0,0,0,30.5,1,0,0
501,0,3,1,9.0,3,2,27.9,0,0,1
502,1,2,1,28.0,0,0,13.0,0,0,1
503,0,3,0,32.0,0,0,7.925,0,0,1
504,0,2,0,31.0,1,1,26.25,0,0,1
505,0,3,1,41.0,0,5,39.6875,0,0,1
506,0,3,0,20.0,0,0,7.8542,0,0,1
507,1,1,1,24.0,0,0,69.3,1,0,0
508,0,3,1,2.0,3,2,27.9,0,0,1
509,1,3,1,0.75,2,1,19.2583,1,0,0
510,1,1,0,48.0,1,0,76.7292,1,0,0
511,0,3,0,19.0,0,0,7.8958,0,0,1
512,1,1,0,56.0,0,0,35.5,1,0,0
513,1,3,1,23.0,0,0,7.55,0,0,1
514,1,2,1,18.0,0,1,23.0,0,0,1
515,0,3,0,21.0,0,0,8.4333,0,0,1
516,0,3,1,18.0,0,0,6.75,0,1,0
517,0,2,0,24.0,2,0,73.5,0,0,1
518,0,3,1,32.0,1,1,15.5,0,1,0
519,0,2,0,23.0,0,0,13.0,0,0,1
520,0,1,0,58.0,0,2,113.275,1,0,0
521,1,1,0,50.0,2,0,133.65,0,0,1
522,0,3,0,40.0,0,0,7.225,1,0,0
523,0,1,0,47.0,0,0,25.5875,0,0,1
524,0,3,0,36.0,0,0,7.4958,0,0,1
525,1,3,0,20.0,1,0,7.925,0,0,1
526,0,2,0,32.0,2,0,73.5,0,0,1
527,0,2,0,25.0,0,0,13.0,0,0,1
528,0,3,0,43.0,0,0,8.05,0,0,1
